================================================================================
Hyperparameter Optimization Log
Date: 2024-12-03 14:40:18
================================================================================

Hyperparameter Ranges:
Steps Range: [500]
Learning Rate Range: [0.01]
Memory Depth Range: [6]
Cutoff Dimension Range: [5]

----------------------------------------
qnn_hp_s500_lr0.01_md6_cd5
----------------------------------------

Hyperparameters:
  Memory Depth: 6
  Training Steps: 500
  Learning Rate: 0.01
  Cutoff Dimension: 5

--------------------
Training Log
--------------------

Initial Parameters:
  Phase1: 4.0403
  Phase3: 0.2184
  Memristor Weight: 0.2823

Training Progress:
  Step    0: Loss = 40.7420, Phase1 = 4.0503, Phase3 = 0.2084, Weight = 0.2723
  Step   36: Loss = 30.0117, Phase1 = 4.4125, Phase3 = 0.0000, Weight = 0.0100
  Step   37: Loss = 29.7281, Phase1 = 4.4228, Phase3 = 0.0000, Weight = 0.0100
  Step   38: Loss = 29.4425, Phase1 = 4.4331, Phase3 = 0.0000, Weight = 0.0100
  Step   39: Loss = 29.1547, Phase1 = 4.4434, Phase3 = 0.0000, Weight = 0.0100
  Step   40: Loss = 28.8649, Phase1 = 4.4537, Phase3 = 0.0000, Weight = 0.0100
  Step   41: Loss = 28.5730, Phase1 = 4.4641, Phase3 = 0.0000, Weight = 0.0100
  Step   42: Loss = 28.2793, Phase1 = 4.4745, Phase3 = 0.0000, Weight = 0.0100
  Step   43: Loss = 27.9837, Phase1 = 4.4849, Phase3 = 0.0000, Weight = 0.0100
  Step   44: Loss = 27.6863, Phase1 = 4.4954, Phase3 = 0.0000, Weight = 0.0100
  Step   45: Loss = 27.3873, Phase1 = 4.5058, Phase3 = 0.0000, Weight = 0.0100
  Step   46: Loss = 27.0868, Phase1 = 4.5163, Phase3 = 0.0000, Weight = 0.0100
  Step   47: Loss = 26.7847, Phase1 = 4.5268, Phase3 = 0.0000, Weight = 0.0100
  Step   48: Loss = 26.4814, Phase1 = 4.5373, Phase3 = 0.0000, Weight = 0.0100
  Step   49: Loss = 26.1768, Phase1 = 4.5479, Phase3 = 0.0000, Weight = 0.0100
  Step   50: Loss = 25.8710, Phase1 = 4.5584, Phase3 = 0.0000, Weight = 0.0100
  Step   51: Loss = 25.5642, Phase1 = 4.5690, Phase3 = 0.0000, Weight = 0.0100
  Step   52: Loss = 25.2566, Phase1 = 4.5796, Phase3 = 0.0000, Weight = 0.0100
  Step   53: Loss = 24.9481, Phase1 = 4.5902, Phase3 = 0.0000, Weight = 0.0100
  Step   54: Loss = 24.6390, Phase1 = 4.6008, Phase3 = 0.0000, Weight = 0.0100
  Step   55: Loss = 24.3294, Phase1 = 4.6114, Phase3 = 0.0000, Weight = 0.0100
  Step   56: Loss = 24.0194, Phase1 = 4.6221, Phase3 = 0.0000, Weight = 0.0100
  Step   57: Loss = 23.7090, Phase1 = 4.6327, Phase3 = 0.0000, Weight = 0.0100
  Step   58: Loss = 23.3985, Phase1 = 4.6433, Phase3 = 0.0000, Weight = 0.0100
  Step   59: Loss = 23.0880, Phase1 = 4.6540, Phase3 = 0.0000, Weight = 0.0100
  Step   60: Loss = 22.7776, Phase1 = 4.6646, Phase3 = 0.0000, Weight = 0.0100
  Step   61: Loss = 22.4675, Phase1 = 4.6752, Phase3 = 0.0000, Weight = 0.0100
  Step   62: Loss = 22.1576, Phase1 = 4.6859, Phase3 = 0.0000, Weight = 0.0100
  Step   63: Loss = 21.8483, Phase1 = 4.6965, Phase3 = 0.0000, Weight = 0.0100
  Step   64: Loss = 21.5395, Phase1 = 4.7071, Phase3 = 0.0000, Weight = 0.0100
  Step   65: Loss = 21.2315, Phase1 = 4.7177, Phase3 = 0.0000, Weight = 0.0100
  Step   66: Loss = 20.9242, Phase1 = 4.7283, Phase3 = 0.0000, Weight = 0.0100
  Step   67: Loss = 20.6181, Phase1 = 4.7389, Phase3 = 0.0000, Weight = 0.0100
  Step   68: Loss = 20.3129, Phase1 = 4.7495, Phase3 = 0.0000, Weight = 0.0100
  Step   69: Loss = 20.0090, Phase1 = 4.7601, Phase3 = 0.0000, Weight = 0.0100
  Step   70: Loss = 19.7064, Phase1 = 4.7706, Phase3 = 0.0000, Weight = 0.0100
  Step   71: Loss = 19.4052, Phase1 = 4.7811, Phase3 = 0.0000, Weight = 0.0100
  Step   72: Loss = 19.1057, Phase1 = 4.7916, Phase3 = 0.0000, Weight = 0.0100
  Step   73: Loss = 18.8077, Phase1 = 4.8021, Phase3 = 0.0000, Weight = 0.0100
  Step   74: Loss = 18.5115, Phase1 = 4.8126, Phase3 = 0.0000, Weight = 0.0100
  Step   75: Loss = 18.2172, Phase1 = 4.8230, Phase3 = 0.0000, Weight = 0.0100
  Step   76: Loss = 17.9249, Phase1 = 4.8334, Phase3 = 0.0000, Weight = 0.0100
  Step   77: Loss = 17.6346, Phase1 = 4.8438, Phase3 = 0.0000, Weight = 0.0100
  Step   78: Loss = 17.3465, Phase1 = 4.8542, Phase3 = 0.0000, Weight = 0.0100
  Step   79: Loss = 17.0607, Phase1 = 4.8645, Phase3 = 0.0000, Weight = 0.0100
  Step   80: Loss = 16.7771, Phase1 = 4.8748, Phase3 = 0.0000, Weight = 0.0100
  Step   81: Loss = 16.4960, Phase1 = 4.8851, Phase3 = 0.0000, Weight = 0.0100
  Step   82: Loss = 16.2175, Phase1 = 4.8953, Phase3 = 0.0000, Weight = 0.0100
  Step   83: Loss = 15.9414, Phase1 = 4.9055, Phase3 = 0.0000, Weight = 0.0100
  Step   84: Loss = 15.6681, Phase1 = 4.9156, Phase3 = 0.0000, Weight = 0.0100
  Step   85: Loss = 15.3975, Phase1 = 4.9257, Phase3 = 0.0000, Weight = 0.0100
  Step   86: Loss = 15.1296, Phase1 = 4.9358, Phase3 = 0.0000, Weight = 0.0100
  Step   87: Loss = 14.8647, Phase1 = 4.9458, Phase3 = 0.0000, Weight = 0.0100
  Step   88: Loss = 14.6026, Phase1 = 4.9558, Phase3 = 0.0000, Weight = 0.0100
  Step   89: Loss = 14.3435, Phase1 = 4.9657, Phase3 = 0.0000, Weight = 0.0100
  Step   90: Loss = 14.0874, Phase1 = 4.9756, Phase3 = 0.0000, Weight = 0.0100
  Step   91: Loss = 13.8345, Phase1 = 4.9855, Phase3 = 0.0000, Weight = 0.0100
  Step   92: Loss = 13.5846, Phase1 = 4.9952, Phase3 = 0.0000, Weight = 0.0100
  Step   93: Loss = 13.3378, Phase1 = 5.0050, Phase3 = 0.0000, Weight = 0.0100
  Step   94: Loss = 13.0943, Phase1 = 5.0147, Phase3 = 0.0000, Weight = 0.0100
  Step   95: Loss = 12.8540, Phase1 = 5.0243, Phase3 = 0.0000, Weight = 0.0100
  Step   96: Loss = 12.6169, Phase1 = 5.0339, Phase3 = 0.0000, Weight = 0.0100
  Step   97: Loss = 12.3832, Phase1 = 5.0435, Phase3 = 0.0000, Weight = 0.0100
  Step   98: Loss = 12.1526, Phase1 = 5.0529, Phase3 = 0.0000, Weight = 0.0100
  Step   99: Loss = 11.9255, Phase1 = 5.0624, Phase3 = 0.0000, Weight = 0.0102
  Step  100: Loss = 11.7017, Phase1 = 5.0717, Phase3 = 0.0000, Weight = 0.0104
  Step  101: Loss = 11.4811, Phase1 = 5.0810, Phase3 = 0.0000, Weight = 0.0107
  Step  102: Loss = 11.2638, Phase1 = 5.0903, Phase3 = 0.0000, Weight = 0.0112
  Step  103: Loss = 11.0498, Phase1 = 5.0995, Phase3 = 0.0000, Weight = 0.0117
  Step  104: Loss = 10.8391, Phase1 = 5.1086, Phase3 = 0.0000, Weight = 0.0123
  Step  105: Loss = 10.6318, Phase1 = 5.1177, Phase3 = 0.0000, Weight = 0.0129
  Step  106: Loss = 10.4276, Phase1 = 5.1267, Phase3 = 0.0000, Weight = 0.0137
  Step  107: Loss = 10.2268, Phase1 = 5.1357, Phase3 = 0.0000, Weight = 0.0146
  Step  108: Loss = 10.0292, Phase1 = 5.1446, Phase3 = 0.0000, Weight = 0.0155
  Step  109: Loss = 9.8349, Phase1 = 5.1534, Phase3 = 0.0000, Weight = 0.0165
  Step  110: Loss = 9.6437, Phase1 = 5.1622, Phase3 = 0.0000, Weight = 0.0177
  Step  111: Loss = 9.4558, Phase1 = 5.1709, Phase3 = 0.0000, Weight = 0.0189
  Step  112: Loss = 9.2710, Phase1 = 5.1795, Phase3 = 0.0000, Weight = 0.0201
  Step  113: Loss = 9.0894, Phase1 = 5.1881, Phase3 = 0.0000, Weight = 0.0215
  Step  114: Loss = 8.9110, Phase1 = 5.1966, Phase3 = 0.0000, Weight = 0.0229
  Step  115: Loss = 8.7357, Phase1 = 5.2050, Phase3 = 0.0000, Weight = 0.0245
  Step  116: Loss = 8.5633, Phase1 = 5.2134, Phase3 = 0.0000, Weight = 0.0260
  Step  117: Loss = 8.3941, Phase1 = 5.2217, Phase3 = 0.0000, Weight = 0.0277
  Step  118: Loss = 8.2279, Phase1 = 5.2300, Phase3 = 0.0000, Weight = 0.0295
  Step  119: Loss = 8.0646, Phase1 = 5.2382, Phase3 = 0.0000, Weight = 0.0313
  Step  120: Loss = 7.9044, Phase1 = 5.2463, Phase3 = 0.0000, Weight = 0.0332
  Step  121: Loss = 7.7470, Phase1 = 5.2543, Phase3 = 0.0000, Weight = 0.0352
  Step  122: Loss = 7.5925, Phase1 = 5.2623, Phase3 = 0.0000, Weight = 0.0373
  Step  123: Loss = 7.4409, Phase1 = 5.2702, Phase3 = 0.0000, Weight = 0.0394
  Step  124: Loss = 7.2921, Phase1 = 5.2781, Phase3 = 0.0000, Weight = 0.0416
  Step  125: Loss = 7.1460, Phase1 = 5.2859, Phase3 = 0.0000, Weight = 0.0439
  Step  126: Loss = 7.0027, Phase1 = 5.2936, Phase3 = 0.0000, Weight = 0.0462
  Step  127: Loss = 6.8621, Phase1 = 5.3013, Phase3 = 0.0000, Weight = 0.0486
  Step  128: Loss = 6.7241, Phase1 = 5.3089, Phase3 = 0.0000, Weight = 0.0511
  Step  129: Loss = 6.5888, Phase1 = 5.3164, Phase3 = 0.0000, Weight = 0.0537
  Step  130: Loss = 6.4561, Phase1 = 5.3238, Phase3 = 0.0000, Weight = 0.0563
  Step  131: Loss = 6.3259, Phase1 = 5.3312, Phase3 = 0.0000, Weight = 0.0590
  Step  132: Loss = 6.1982, Phase1 = 5.3386, Phase3 = 0.0000, Weight = 0.0617
  Step  133: Loss = 6.0729, Phase1 = 5.3458, Phase3 = 0.0000, Weight = 0.0645
  Step  134: Loss = 5.9500, Phase1 = 5.3530, Phase3 = 0.0000, Weight = 0.0674
  Step  135: Loss = 5.8296, Phase1 = 5.3601, Phase3 = 0.0000, Weight = 0.0704
  Step  136: Loss = 5.7114, Phase1 = 5.3672, Phase3 = 0.0000, Weight = 0.0734
  Step  137: Loss = 5.5957, Phase1 = 5.3742, Phase3 = 0.0000, Weight = 0.0765
  Step  138: Loss = 5.4821, Phase1 = 5.3811, Phase3 = 0.0000, Weight = 0.0796
  Step  139: Loss = 5.3708, Phase1 = 5.3880, Phase3 = 0.0000, Weight = 0.0828
  Step  140: Loss = 5.2616, Phase1 = 5.3948, Phase3 = 0.0000, Weight = 0.0860
  Step  141: Loss = 5.1547, Phase1 = 5.4015, Phase3 = 0.0000, Weight = 0.0894
  Step  142: Loss = 5.0498, Phase1 = 5.4082, Phase3 = 0.0000, Weight = 0.0927
  Step  143: Loss = 4.9469, Phase1 = 5.4148, Phase3 = 0.0000, Weight = 0.0962
  Step  144: Loss = 4.8460, Phase1 = 5.4214, Phase3 = 0.0000, Weight = 0.0996
  Step  145: Loss = 4.7472, Phase1 = 5.4278, Phase3 = 0.0000, Weight = 0.1032
  Step  146: Loss = 4.6503, Phase1 = 5.4343, Phase3 = 0.0000, Weight = 0.1068
  Step  147: Loss = 4.5554, Phase1 = 5.4406, Phase3 = 0.0000, Weight = 0.1104
  Step  148: Loss = 4.4623, Phase1 = 5.4469, Phase3 = 0.0000, Weight = 0.1141
  Step  149: Loss = 4.3711, Phase1 = 5.4532, Phase3 = 0.0000, Weight = 0.1179
  Step  150: Loss = 4.2816, Phase1 = 5.4593, Phase3 = 0.0000, Weight = 0.1217
  Step  151: Loss = 4.1940, Phase1 = 5.4654, Phase3 = 0.0000, Weight = 0.1255
  Step  152: Loss = 4.1081, Phase1 = 5.4715, Phase3 = 0.0000, Weight = 0.1294
  Step  153: Loss = 4.0238, Phase1 = 5.4775, Phase3 = 0.0000, Weight = 0.1334
  Step  154: Loss = 3.9412, Phase1 = 5.4834, Phase3 = 0.0000, Weight = 0.1374
  Step  155: Loss = 3.8603, Phase1 = 5.4893, Phase3 = 0.0000, Weight = 0.1414
  Step  156: Loss = 3.7810, Phase1 = 5.4951, Phase3 = 0.0000, Weight = 0.1455
  Step  157: Loss = 3.7032, Phase1 = 5.5008, Phase3 = 0.0000, Weight = 0.1496
  Step  158: Loss = 3.6270, Phase1 = 5.5065, Phase3 = 0.0000, Weight = 0.1538
  Step  159: Loss = 3.5523, Phase1 = 5.5122, Phase3 = 0.0000, Weight = 0.1580
  Step  160: Loss = 3.4791, Phase1 = 5.5178, Phase3 = 0.0000, Weight = 0.1622
  Step  161: Loss = 3.4074, Phase1 = 5.5233, Phase3 = 0.0000, Weight = 0.1665
  Step  162: Loss = 3.3370, Phase1 = 5.5287, Phase3 = 0.0000, Weight = 0.1709
  Step  163: Loss = 3.2680, Phase1 = 5.5341, Phase3 = 0.0000, Weight = 0.1752
  Step  164: Loss = 3.2004, Phase1 = 5.5395, Phase3 = 0.0000, Weight = 0.1796
  Step  165: Loss = 3.1342, Phase1 = 5.5448, Phase3 = 0.0000, Weight = 0.1841
  Step  166: Loss = 3.0693, Phase1 = 5.5500, Phase3 = 0.0000, Weight = 0.1885
  Step  167: Loss = 3.0057, Phase1 = 5.5552, Phase3 = 0.0000, Weight = 0.1930
  Step  168: Loss = 2.9432, Phase1 = 5.5603, Phase3 = 0.0000, Weight = 0.1976
  Step  169: Loss = 2.8822, Phase1 = 5.5654, Phase3 = 0.0000, Weight = 0.2021
  Step  170: Loss = 2.8223, Phase1 = 5.5704, Phase3 = 0.0000, Weight = 0.2067
  Step  171: Loss = 2.7636, Phase1 = 5.5754, Phase3 = 0.0000, Weight = 0.2114
  Step  172: Loss = 2.7059, Phase1 = 5.5803, Phase3 = 0.0000, Weight = 0.2160
  Step  173: Loss = 2.6496, Phase1 = 5.5852, Phase3 = 0.0000, Weight = 0.2207
  Step  174: Loss = 2.5943, Phase1 = 5.5900, Phase3 = 0.0000, Weight = 0.2254
  Step  175: Loss = 2.5400, Phase1 = 5.5947, Phase3 = 0.0000, Weight = 0.2302
  Step  176: Loss = 2.4869, Phase1 = 5.5994, Phase3 = 0.0000, Weight = 0.2349
  Step  177: Loss = 2.4350, Phase1 = 5.6041, Phase3 = 0.0000, Weight = 0.2397
  Step  178: Loss = 2.3840, Phase1 = 5.6087, Phase3 = 0.0000, Weight = 0.2445
  Step  179: Loss = 2.3340, Phase1 = 5.6132, Phase3 = 0.0000, Weight = 0.2493
  Step  180: Loss = 2.2850, Phase1 = 5.6177, Phase3 = 0.0000, Weight = 0.2541
  Step  181: Loss = 2.2371, Phase1 = 5.6222, Phase3 = 0.0000, Weight = 0.2590
  Step  182: Loss = 2.1901, Phase1 = 5.6266, Phase3 = 0.0000, Weight = 0.2639
  Step  183: Loss = 2.1440, Phase1 = 5.6309, Phase3 = 0.0000, Weight = 0.2688
  Step  184: Loss = 2.0989, Phase1 = 5.6352, Phase3 = 0.0000, Weight = 0.2737
  Step  185: Loss = 2.0546, Phase1 = 5.6395, Phase3 = 0.0000, Weight = 0.2786
  Step  186: Loss = 2.0113, Phase1 = 5.6437, Phase3 = 0.0000, Weight = 0.2835
  Step  187: Loss = 1.9689, Phase1 = 5.6478, Phase3 = 0.0000, Weight = 0.2885
  Step  188: Loss = 1.9274, Phase1 = 5.6519, Phase3 = 0.0000, Weight = 0.2934
  Step  189: Loss = 1.8867, Phase1 = 5.6560, Phase3 = 0.0000, Weight = 0.2984
  Step  190: Loss = 1.8469, Phase1 = 5.6600, Phase3 = 0.0000, Weight = 0.3034
  Step  191: Loss = 1.8078, Phase1 = 5.6640, Phase3 = 0.0000, Weight = 0.3084
  Step  192: Loss = 1.7697, Phase1 = 5.6679, Phase3 = 0.0000, Weight = 0.3133
  Step  193: Loss = 1.7322, Phase1 = 5.6718, Phase3 = 0.0000, Weight = 0.3183
  Step  194: Loss = 1.6956, Phase1 = 5.6756, Phase3 = 0.0000, Weight = 0.3233
  Step  195: Loss = 1.6598, Phase1 = 5.6794, Phase3 = 0.0000, Weight = 0.3283
  Step  196: Loss = 1.6246, Phase1 = 5.6831, Phase3 = 0.0000, Weight = 0.3334
  Step  197: Loss = 1.5903, Phase1 = 5.6868, Phase3 = 0.0000, Weight = 0.3384
  Step  198: Loss = 1.5567, Phase1 = 5.6905, Phase3 = 0.0000, Weight = 0.3434
  Step  199: Loss = 1.5238, Phase1 = 5.6941, Phase3 = 0.0000, Weight = 0.3484
  Step  200: Loss = 1.4915, Phase1 = 5.6976, Phase3 = 0.0000, Weight = 0.3534
  Step  201: Loss = 1.4601, Phase1 = 5.7011, Phase3 = 0.0000, Weight = 0.3584
  Step  202: Loss = 1.4292, Phase1 = 5.7046, Phase3 = 0.0000, Weight = 0.3634
  Step  203: Loss = 1.3991, Phase1 = 5.7080, Phase3 = 0.0000, Weight = 0.3684
  Step  204: Loss = 1.3695, Phase1 = 5.7114, Phase3 = 0.0000, Weight = 0.3734
  Step  205: Loss = 1.3407, Phase1 = 5.7147, Phase3 = 0.0000, Weight = 0.3784
  Step  206: Loss = 1.3125, Phase1 = 5.7180, Phase3 = 0.0000, Weight = 0.3834
  Step  207: Loss = 1.2849, Phase1 = 5.7213, Phase3 = 0.0000, Weight = 0.3884
  Step  208: Loss = 1.2580, Phase1 = 5.7245, Phase3 = 0.0000, Weight = 0.3934
  Step  209: Loss = 1.2315, Phase1 = 5.7277, Phase3 = 0.0000, Weight = 0.3983
  Step  210: Loss = 1.2058, Phase1 = 5.7308, Phase3 = 0.0000, Weight = 0.4033
  Step  211: Loss = 1.1806, Phase1 = 5.7339, Phase3 = 0.0000, Weight = 0.4083
  Step  212: Loss = 1.1560, Phase1 = 5.7369, Phase3 = 0.0000, Weight = 0.4132
  Step  213: Loss = 1.1319, Phase1 = 5.7399, Phase3 = 0.0000, Weight = 0.4181
  Step  214: Loss = 1.1085, Phase1 = 5.7429, Phase3 = 0.0000, Weight = 0.4230
  Step  215: Loss = 1.0855, Phase1 = 5.7458, Phase3 = 0.0000, Weight = 0.4279
  Step  216: Loss = 1.0631, Phase1 = 5.7487, Phase3 = 0.0000, Weight = 0.4328
  Step  217: Loss = 1.0413, Phase1 = 5.7515, Phase3 = 0.0000, Weight = 0.4377
  Step  218: Loss = 1.0198, Phase1 = 5.7543, Phase3 = 0.0000, Weight = 0.4426
  Step  219: Loss = 0.9990, Phase1 = 5.7571, Phase3 = 0.0000, Weight = 0.4474
  Step  220: Loss = 0.9786, Phase1 = 5.7598, Phase3 = 0.0000, Weight = 0.4523
  Step  221: Loss = 0.9588, Phase1 = 5.7625, Phase3 = 0.0000, Weight = 0.4571
  Step  222: Loss = 0.9394, Phase1 = 5.7652, Phase3 = 0.0000, Weight = 0.4619
  Step  223: Loss = 0.9205, Phase1 = 5.7678, Phase3 = 0.0000, Weight = 0.4666
  Step  224: Loss = 0.9020, Phase1 = 5.7703, Phase3 = 0.0000, Weight = 0.4714
  Step  225: Loss = 0.8840, Phase1 = 5.7729, Phase3 = 0.0000, Weight = 0.4762
  Step  226: Loss = 0.8664, Phase1 = 5.7753, Phase3 = 0.0000, Weight = 0.4809
  Step  227: Loss = 0.8493, Phase1 = 5.7778, Phase3 = 0.0000, Weight = 0.4856
  Step  228: Loss = 0.8326, Phase1 = 5.7802, Phase3 = 0.0000, Weight = 0.4903
  Step  229: Loss = 0.8163, Phase1 = 5.7826, Phase3 = 0.0000, Weight = 0.4949
  Step  230: Loss = 0.8005, Phase1 = 5.7849, Phase3 = 0.0000, Weight = 0.4996
  Step  231: Loss = 0.7850, Phase1 = 5.7872, Phase3 = 0.0000, Weight = 0.5042
  Step  232: Loss = 0.7699, Phase1 = 5.7895, Phase3 = 0.0000, Weight = 0.5088
  Step  233: Loss = 0.7553, Phase1 = 5.7917, Phase3 = 0.0000, Weight = 0.5134
  Step  234: Loss = 0.7409, Phase1 = 5.7939, Phase3 = 0.0000, Weight = 0.5179
  Step  235: Loss = 0.7270, Phase1 = 5.7961, Phase3 = 0.0000, Weight = 0.5225
  Step  236: Loss = 0.7134, Phase1 = 5.7982, Phase3 = 0.0000, Weight = 0.5270
  Step  237: Loss = 0.7002, Phase1 = 5.8003, Phase3 = 0.0000, Weight = 0.5315
  Step  238: Loss = 0.6874, Phase1 = 5.8024, Phase3 = 0.0000, Weight = 0.5359
  Step  239: Loss = 0.6749, Phase1 = 5.8044, Phase3 = 0.0000, Weight = 0.5404
  Step  240: Loss = 0.6626, Phase1 = 5.8064, Phase3 = 0.0000, Weight = 0.5448
  Step  241: Loss = 0.6508, Phase1 = 5.8083, Phase3 = 0.0000, Weight = 0.5492
  Step  242: Loss = 0.6393, Phase1 = 5.8102, Phase3 = 0.0000, Weight = 0.5535
  Step  243: Loss = 0.6280, Phase1 = 5.8121, Phase3 = 0.0000, Weight = 0.5579
  Step  244: Loss = 0.6171, Phase1 = 5.8140, Phase3 = 0.0000, Weight = 0.5622
  Step  245: Loss = 0.6065, Phase1 = 5.8158, Phase3 = 0.0000, Weight = 0.5665
  Step  246: Loss = 0.5961, Phase1 = 5.8176, Phase3 = 0.0000, Weight = 0.5707
  Step  247: Loss = 0.5861, Phase1 = 5.8193, Phase3 = 0.0000, Weight = 0.5750
  Step  248: Loss = 0.5763, Phase1 = 5.8210, Phase3 = 0.0000, Weight = 0.5792
  Step  249: Loss = 0.5668, Phase1 = 5.8227, Phase3 = 0.0000, Weight = 0.5834
  Step  250: Loss = 0.5576, Phase1 = 5.8244, Phase3 = 0.0000, Weight = 0.5875
  Step  251: Loss = 0.5486, Phase1 = 5.8260, Phase3 = 0.0000, Weight = 0.5917
  Step  252: Loss = 0.5398, Phase1 = 5.8276, Phase3 = 0.0000, Weight = 0.5958
  Step  253: Loss = 0.5314, Phase1 = 5.8291, Phase3 = 0.0000, Weight = 0.5998
  Step  254: Loss = 0.5231, Phase1 = 5.8307, Phase3 = 0.0000, Weight = 0.6039
  Step  255: Loss = 0.5151, Phase1 = 5.8321, Phase3 = 0.0000, Weight = 0.6079
  Step  256: Loss = 0.5073, Phase1 = 5.8336, Phase3 = 0.0000, Weight = 0.6119
  Step  257: Loss = 0.4997, Phase1 = 5.8351, Phase3 = 0.0000, Weight = 0.6158
  Step  258: Loss = 0.4924, Phase1 = 5.8365, Phase3 = 0.0000, Weight = 0.6198
  Step  259: Loss = 0.4852, Phase1 = 5.8378, Phase3 = 0.0000, Weight = 0.6237
  Step  260: Loss = 0.4783, Phase1 = 5.8392, Phase3 = 0.0000, Weight = 0.6276
  Step  261: Loss = 0.4715, Phase1 = 5.8405, Phase3 = 0.0000, Weight = 0.6314
  Step  262: Loss = 0.4649, Phase1 = 5.8418, Phase3 = 0.0000, Weight = 0.6353
  Step  263: Loss = 0.4586, Phase1 = 5.8430, Phase3 = 0.0000, Weight = 0.6391
  Step  264: Loss = 0.4524, Phase1 = 5.8443, Phase3 = 0.0000, Weight = 0.6428
  Step  265: Loss = 0.4464, Phase1 = 5.8455, Phase3 = 0.0000, Weight = 0.6466
  Step  266: Loss = 0.4405, Phase1 = 5.8467, Phase3 = 0.0000, Weight = 0.6503
